Dataset,ADE-FCM,DeepADEFCM,FCM,FCLM,KMeans,Agglomerative
iris,0.4469+-0.0000,0.3911+-0.0373,0.4584+-0.0000,0.2251+-0.1890,0.4615+-0.0072,0.4467+-0.0000
wine,0.2791+-0.0000,0.2172+-0.0278,0.2849+-0.0000,0.1076+-0.1043,0.2835+-0.0021,0.2774+-0.0000
breast_cancer,0.3199+-0.0000,0.1925+-0.0844,0.3400+-0.0000,0.0962+-0.1049,0.3442+-0.0007,0.3394+-0.0000
digits,0.1239+-0.0066,-0.0045+-0.0159,-0.0068+-0.0363,0.0432+-0.0174,0.1401+-0.0077,0.1253+-0.0000
glass,0.2811+-0.0147,0.1846+-0.0721,0.2152+-0.0000,0.1858+-0.1432,0.3315+-0.0423,0.2822+-0.0000
seeds,0.3907+-0.0000,0.3293+-0.0267,0.4010+-0.0000,0.2445+-0.1952,0.4021+-0.0016,0.3926+-0.0000
sonar,0.1368+-0.0034,0.2043+-0.0331,0.1326+-0.0007,0.0921+-0.0875,0.1691+-0.0512,0.2461+-0.0000
