Dataset,ADE-FCM,DeepADEFCM,FCM,FCLM,KMeans,Agglomerative
iris,0.0539+-0.0106,2.1219+-0.5413,0.0913+-0.0215,0.4247+-0.2260,0.1643+-0.5145,0.0050+-0.0124
wine,0.0671+-0.0377,2.1466+-0.0551,0.0823+-0.0162,0.5545+-0.1979,0.0024+-0.0013,0.0014+-0.0014
breast_cancer,0.0907+-0.0147,6.0608+-1.1226,0.2113+-0.0354,1.1054+-0.5818,0.0051+-0.0048,0.0101+-0.0076
digits,2.0389+-0.0347,27.5319+-1.6959,2.7273+-0.5243,22.9882+-1.4157,0.0098+-0.0055,0.1099+-0.0083
glass,0.1327+-0.0380,4.1553+-0.8046,0.4901+-0.0478,1.4370+-0.3548,0.0042+-0.0056,0.0016+-0.0014
seeds,0.0788+-0.0339,2.4761+-0.1873,0.0916+-0.0161,0.6111+-0.2481,0.0032+-0.0052,0.0033+-0.0031
sonar,0.0577+-0.0074,2.0043+-0.1260,0.1103+-0.0127,0.3832+-0.2423,0.0016+-0.0016,0.0029+-0.0020
