Dataset,ADE-FCM,DeepADEFCM,FCM,FCLM,KMeans,Agglomerative
iris,0.8310+-0.0000,1.2636+-0.4198,0.8340+-0.0000,0.8654+-0.6979,0.8266+-0.0133,0.8035+-0.0000
wine,1.3737+-0.0000,1.5954+-0.1251,1.3892+-0.0000,1.5928+-1.2626,1.3919+-0.0018,1.4186+-0.0000
breast_cancer,1.3553+-0.0000,2.5617+-1.3237,1.3246+-0.0000,1.3281+-1.2630,1.3138+-0.0058,1.3700+-0.0000
digits,2.0912+-0.0894,5.2979+-2.1026,4.0556+-0.4957,3.2482+-0.4725,1.9178+-0.1421,1.9672+-0.0000
glass,1.3529+-0.0190,1.9098+-0.3628,1.5118+-0.0000,2.0320+-0.8568,1.0226+-0.0853,1.0229+-0.0000
seeds,0.9043+-0.0000,1.0482+-0.0421,0.9312+-0.0000,0.8038+-0.6706,0.9231+-0.0052,0.9445+-0.0000
sonar,2.4411+-0.0154,2.2654+-0.1714,2.4575+-0.0076,2.1795+-1.5984,2.3293+-0.1986,2.0634+-0.0000
