Dataset,ADE-FCM,DeepADEFCM,FCM,FCLM,KMeans,Agglomerative
iris,0.6038+-0.0000,0.6293+-0.1211,0.6303+-0.0000,0.1463+-0.1861,0.6020+-0.0647,0.6153+-0.0000
wine,0.7899+-0.0000,0.5136+-0.0868,0.8975+-0.0000,0.1523+-0.1861,0.8786+-0.0276,0.7899+-0.0000
breast_cancer,0.6837+-0.0000,0.3876+-0.2773,0.6829+-0.0000,0.1306+-0.1968,0.6674+-0.0118,0.5750+-0.0000
digits,0.5530+-0.0504,0.0581+-0.0298,0.1792+-0.0267,0.1890+-0.0472,0.5121+-0.0548,0.6643+-0.0000
glass,0.1983+-0.0112,0.1993+-0.0330,0.1550+-0.0000,0.0655+-0.0825,0.1697+-0.0267,0.1351+-0.0000
seeds,0.6786+-0.0000,0.5705+-0.1045,0.7723+-0.0000,0.2593+-0.1953,0.7794+-0.0135,0.7970+-0.0000
sonar,0.0134+-0.0000,0.0014+-0.0050,0.0420+-0.0061,0.0429+-0.0902,0.0113+-0.0157,-0.0014+-0.0000
