algorithm,silhouette,ari,nmi,davies_bouldin,calinski_harabasz,execution_time,rank_silhouette,rank_ari,rank_nmi,avg_rank
KMeans,0.49612811070598023,0.5713382548924151,0.6012528366844245,0.9413486808054736,630.2937107291518,0.40261054039001465,2.0,2.0,3.0,2.3333333333333335
MiniBatchKMeans,0.4891180286066644,0.5684559841038925,0.6034042027182281,0.9356250139679206,634.980515300104,0.03096383810043335,3.0,3.0,2.0,2.6666666666666665
Agglomerative,0.4968198831470403,0.5452123157030048,0.5933530706429986,0.8901108343319688,590.0692166026618,0.03733569383621216,1.0,4.0,4.0,3.0
GaussianMixture,0.38324733031254415,0.7198741763748808,0.7269743338466965,1.1081566279601516,392.2403902986973,0.12302744388580322,7.0,1.0,1.0,3.0
ADE-FCM,0.46608051244556037,0.44915866146231914,0.5034540335757921,1.3996113136971713,634.5517283217882,1.8659011721611023,4.0,5.0,5.0,4.666666666666667
FCM,0.4551234585046465,0.4323454626068355,0.4844752718947203,1.4230365915795635,629.1173695744642,0.01553332805633545,5.0,6.0,6.0,5.666666666666667
FCLM,0.4431371084145056,0.41909364960651907,0.4650542100012711,1.1827598833188597,619.7057266543499,0.03456926345825195,6.0,7.0,7.0,6.666666666666667
Spectral,0.16513610496984538,0.18646648024495427,0.20458228337987253,inf,140.1156824155765,160.53554570674896,9.0,8.0,8.0,8.333333333333334
DBSCAN,0.18383911886996238,0.15181843029065845,0.1876795746087566,inf,170.1215453045377,0.009477794170379639,8.0,9.0,9.0,8.666666666666666
