algorithm,silhouette,ari,nmi,davies_bouldin,calinski_harabasz,execution_time
KMeans,0.6973,0.4914,0.4648,0.5044,1300.2082,0.004
MiniBatchKMeans,0.6965,0.5019,0.473,0.5064,1297.7582,0.0418
FCM,0.6973,0.4914,0.4648,0.5044,1300.2082,0.006
FCLM,0.6976,0.4759,0.4527,0.5019,1298.6845,0.0053
ADE-FCM,0.6974,0.4862,0.4607,0.5035,1300.048,2.1773
Spectral,0.0,0.0,0.0,inf,0.0,18.5996
DBSCAN,0.0,0.0,0.0,inf,0.0,0.0147
Agglomerative,0.69,0.2872,0.3191,0.4795,1088.1624,0.008
GaussianMixture,0.5315,0.8116,0.7061,0.7014,675.5659,0.0318
