algorithm,silhouette,ari,nmi,davies_bouldin,calinski_harabasz,execution_time
KMeans,0.5596,0.3518,0.4233,0.5496,497.0049,0.002
MiniBatchKMeans,0.5715,0.3749,0.4315,0.5336,561.5003,0.0402
FCM,0.5662,0.3539,0.4168,0.5394,559.4019,0.0052
FCLM,0.5688,0.3602,0.4213,0.5373,560.2467,0.004
ADE-FCM,0.5711,0.3711,0.4288,0.5342,561.8157,1.0611
Spectral,0.2803,0.0004,0.0111,0.4477,3.3691,0.0324
DBSCAN,0.0,0.0,0.0,inf,0.0,0.0034
Agglomerative,0.5645,0.3684,0.4161,0.5357,552.8517,0.002
GaussianMixture,0.3473,0.4619,0.5165,0.8155,266.2209,0.0214
