algorithm,silhouette,ari,nmi,davies_bouldin,calinski_harabasz,execution_time
KMeans,0.1765,0.7258,0.775,2.0454,162.368,0.006
MiniBatchKMeans,0.1683,0.6387,0.7234,2.0339,159.1027,0.0204
FCM,0.0075,0.1546,0.3067,3.9791,96.6359,0.0474
FCLM,-0.0434,0.1108,0.2366,3.0226,59.6682,0.1251
ADE-FCM,0.0429,0.2091,0.3661,3.8987,114.7155,3.2084
Spectral,-0.1751,0.0,0.0092,1.3425,0.9759,623.4777
DBSCAN,0.0,0.0,0.0,inf,0.0,0.0169
Agglomerative,0.1785,0.794,0.8682,1.889,161.2048,0.1373
GaussianMixture,0.153,0.7021,0.7856,2.1674,145.3941,0.4165
